,gene_symbol,myAUC,myDiff,power,cluster #
2219,TUBB2A,0.848,1.623271,0.348,17
2220,LGR5,0.757,1.617618,0.257,17
2221,NCALD,0.795,1.603750,0.295,17
2222,VSTM2A,0.740,1.554722,0.240,17
2223,CELF4,0.872,1.530692,0.372,17
2224,SULF2,0.760,1.520666,0.260,17
2225,MGLL,0.754,1.520539,0.254,17
2226,PAX6,0.816,1.498468,0.316,17
2227,SLC24A3,0.781,1.478973,0.281,17
2228,PAM,0.742,1.475693,0.242,17
2229,CABP1,0.775,1.471362,0.275,17
2230,CACNG3,0.735,1.458559,0.235,17
2231,SLC32A1,0.764,1.449804,0.264,17
2232,HS6ST2,0.707,1.397958,0.207,17
2233,THRA,0.819,1.389414,0.319,17
2234,NAV1,0.774,1.379521,0.274,17
2235,SPARCL1,0.752,1.366591,0.252,17
2236,DPP6,0.726,1.359750,0.226,17
2237,TCF4,0.820,1.358693,0.320,17
2238,NECAB2,0.717,1.353128,0.217,17
2239,APP,0.828,1.351232,0.328,17
2240,LY6H,0.730,1.336108,0.230,17
2241,TTC3,0.870,1.328177,0.370,17
2242,SYT4,0.748,1.315258,0.248,17
2243,EBF1,0.701,1.310439,0.201,17
2244,CALB2,0.802,1.299700,0.302,17
2245,TKT,0.761,1.294344,0.261,17
2246,CAMKV,0.709,1.291859,0.209,17
2247,SPHKAP,0.771,1.288256,0.271,17
2248,FSTL5,0.725,1.283969,0.225,17
2249,THY1,0.723,1.277498,0.223,17
2250,SUSD4,0.709,1.255558,0.209,17
2251,GRIA4,0.735,1.236041,0.235,17
2252,4930447C04RIK,0.756,1.222306,0.256,17
2253,SEZ6,0.713,1.213564,0.213,17
2254,FILIP1L,0.701,1.211433,0.201,17
2255,MARCKSL1,0.744,1.207456,0.244,17
2256,ANK3,0.761,1.200975,0.261,17
2257,NRXN3,0.807,1.168788,0.307,17
2258,NDUFC2,0.787,1.159975,0.287,17
2259,GPM6A,0.780,1.143074,0.280,17
2260,ITM2C,0.768,1.128670,0.268,17
2261,SV2A,0.779,1.093330,0.279,17
2262,SNHG11,0.825,1.085316,0.325,17
2263,LSAMP,0.709,1.058888,0.209,17
2264,GAS6,0.767,1.058520,0.267,17
2265,CAMK2N1,0.762,1.055403,0.262,17
2266,SCG3,0.751,1.049366,0.251,17
2267,NSG2,0.706,1.049170,0.206,17
2268,CRMP1,0.709,1.036034,0.209,17
2269,MEG3,0.839,1.025407,0.339,17
2270,NREP,0.775,1.017209,0.275,17
2271,PGRMC1,0.723,1.013992,0.223,17
2272,PPP1R1A,0.707,1.008115,0.207,17
2273,INA,0.720,1.004427,0.220,17
2274,HMGN1,0.257,-1.196552,0.243,17
2275,CST3,0.297,-1.331354,0.203,17
2276,GNB1,0.257,-1.407515,0.243,17
2277,CNGA1,0.284,-1.538745,0.216,17
2278,UNC119,0.258,-1.566938,0.242,17
2279,NEUROD1,0.288,-1.572623,0.212,17
2280,ROM1,0.243,-1.577979,0.257,17
2281,NRL,0.281,-1.587397,0.219,17
2282,PRPH2,0.211,-1.721597,0.289,17
2283,SLC24A1,0.279,-1.725891,0.221,17
2284,TULP1,0.219,-1.731480,0.281,17
2285,RP1,0.244,-1.732042,0.256,17
2286,NR2E3,0.264,-1.737427,0.236,17
2287,RS1,0.266,-1.747543,0.234,17
2288,RCVRN,0.233,-1.757940,0.267,17
2289,RPGRIP1,0.258,-1.766938,0.242,17
2290,PDE6G,0.220,-1.771881,0.280,17
2291,PDE6B,0.236,-1.776243,0.264,17
2292,GNAT1,0.216,-1.796601,0.284,17
2293,PDC,0.191,-1.801008,0.309,17
2294,RHO,0.181,-1.842355,0.319,17
2295,SAG,0.174,-1.848204,0.326,17
2296,GNGT1,0.181,-1.878152,0.319,17
2301,NHLH2,40  2,.577919 0.,440,18
2302,PCDH17,26  2,.518747 0.,426,18
2303,NFIX,96  2,.289617 0.,396,18
2304,HPCA,94  2,.165617 0.,394,18
2305,NFIB,50  2,.151836 0.,350,18
2306,CHN2,65  1,.981338 0.,365,18
2307,NECAB1,34  1,.930261 0.,334,18
2308,CELF4,44  1,.891838 0.,444,18
2309,COL12A1,69  1,.884139 0.,269,18
2310,PRDM13,95  1,.854160 0.,295,18
2311,D3BWG0562E,30  1,.829089 0.,330,18
2312,TCF4,92  1,.827289 0.,392,18
2313,NRXN1,67  1,.826387 0.,267,18
2314,SOCS2,95  1,.761385 0.,295,18
2315,ANK3,44  1,.673902 0.,344,18
2316,TFAP2C,59  1,.629828 0.,259,18
2317,STMN2,49  1,.556131 0.,249,18
2318,ZFP804A,19  1,.551147 0.,219,18
2319,APP,75  1,.546885 0.,375,18
2320,ELAVL3,83  1,.506019 0.,283,18
2321,ARHGAP20,19  1,.505211 0.,219,18
2322,MEG3,80  1,.462490 0.,380,18
2323,SLC32A1,65  1,.444429 0.,265,18
2324,NAV1,62  1,.417519 0.,262,18
2325,SEMA4G,29  1,.383182 0.,229,18
2326,MARCKSL1,76  1,.359972 0.,276,18
2327,PIK3R3,45  1,.354144 0.,245,18
2328,THRA,20  1,.353685 0.,320,18
2329,NCALD,36  1,.337872 0.,236,18
2330,NSG1,42  1,.320977 0.,242,18
2331,PTPRS,43  1,.286383 0.,243,18
2332,NREP,40  1,.285992 0.,340,18
2333,CABP1,25  1,.262818 0.,225,18
2334,SIX3,87  1,.251619 0.,287,18
2335,SLC6A9,10  1,.245464 0.,210,18
2336,RPH3A,52  1,.238243 0.,252,18
2337,TTC3,42  1,.233544 0.,342,18
2338,GRIA2,77  1,.228039 0.,277,18
2339,CD47,53  1,.210868 0.,253,18
2340,ATP1B1,01  1,.167177 0.,301,18
2341,ZCCHC18,20  1,.164194 0.,220,18
2342,PLEKHA1,52  1,.163094 0.,252,18
2343,GPM6A,88  1,.153552 0.,288,18
2344,PNMAL2,48  1,.130451 0.,248,18
2345,GRIA4,25  1,.120343 0.,225,18
2346,RTN1,73  1,.099410 0.,273,18
2347,TUBB2A,69  1,.094495 0.,269,18
2348,CAMK2N1,42  1,.088043 0.,242,18
2349,CALM2,98  1,.074762 0.,298,18
2350,TAGLN3,19  1,.054396 0.,219,18
2351,NRXN3,54  1,.040204 0.,254,18
2352,PAX6,34  1,.034451 0.,234,18
2353,NGFRAP1,39  1,.019194 0.,239,18
2354,HMGN1,51 -1,.229929 0.,249,18
2355,CST3,91 -1,.416269 0.,209,18
2356,GNB1,47 -1,.445738 0.,253,18
2357,RPGRIP1,83 -1,.546356 0.,217,18
2358,NRL,89 -1,.564782 0.,211,18
2359,NEUROD1,83 -1,.620185 0.,217,18
2360,NR2E3,75 -1,.669162 0.,225,18
2361,PDE6B,54 -1,.672037 0.,246,18
2362,UNC119,44 -1,.678390 0.,256,18
2363,RP1,48 -1,.709894 0.,252,18
2364,SLC24A1,87 -1,.717416 0.,213,18
2365,PDC,98 -1,.748702 0.,302,18
2366,ROM1,30 -1,.751335 0.,270,18
2367,TULP1,18 -1,.761842 0.,282,18
2368,PDE6G,26 -1,.763229 0.,274,18
2369,RCVRN,31 -1,.769978 0.,269,18
2370,SAG,84 -1,.774554 0.,316,18
